model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location
ATTO 2,Boost,Hiking Green,Black,LC0CE4CBXS4024679,HC-165-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB5S4024721,HC-141-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 3,Design,Surf Blue,Blue&Grey,LGXCE4CB8P2008254,GP-663-CW,2023-05-25,24934.0,100.0,2025-07-30,Bureau FR,IT培训 /Ziyi,IT培训 /Ziyi
ATTO 3,Design,Parkour Red,Blue&Grey,LGXCE4CB5P2013248,GP-723-CW,2023-05-25,20121.0,,2025-07-24,Bureau FR,,Bureau FR
ATTO 3,Design,Parkour Red,Blue&Grey,LGXCE4CB9P2016749,GP-959-CW,2023-05-25,8485.0,,2025-01-23,Bureau FR,Bureau FR,Colombes
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB8P2015236,GP-188-DR,2023-05-26,44093.0,100.0,2025-08-11,Bureau FR,Bureau FR,Colombes
ATTO 3,Design,Green,Blue&Grey,LGXCE4CB5P2215068,HB-129-SF,2025-02-06,168.0,98.0,2025-07-23,Bureau FR,Bureau FR,Colombes
ATTO 3,Design,Red,Blue&Grey,LGXCE4CB2P2209308,HB-523-TS,2025-02-06,410.0,100.0,2025-07-30,Bureau FR,Bureau FR,Colombes
ATTO 3,Design,Climbing grey,,LGXCE4CB7P2008035,GP-693-CW,2025-02-28,13897.0,72.0,2025-08-28,Bureau FR,Bureau FR,Bureau FR
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB3P2207230,GY-463-BW,2024-07-04,2545.0,,2025-01-23,Jean Edouard,Jean Edouard,Jean Edouard
ATTO 3,Comfort,Ski White,Blue&Grey,LGXCE4CB1P2015224,GP-187-DR,2023-05-26,7800.0,,2025-07-21,Guillaume CALVAR,Guillaume CALVAR,Guillaume CALVAR
ATTO 3,Comfort,Climbing grey,Blue&Grey,LGXCE4CB5P2012701,GP-099-DR,2023-05-26,18069.0,,2025-07-31,Song YU,Song YU,Song YU
ATTO 3,Design,Climbing grey,Blue&Grey,LGXCE4CB8P2010781,GP-637-CW,2023-05-25,12371.0,,2025-07-18,Morgane SIRODOT,Morgane SIRODOT,Morgane SIRODOT
ATTO 3 2025,Design,Cosmos Black,Black,LGXCE4CB3S2011359,HB-289-MT,2025-01-23,1225.0,57.0,2025-07-23,Bureau FR,LSQ,LSQ
ATTO 3 2025,Comfort-LHD,Space Black,Blue&Grey,LGXCE4CB1R2226913,HC-047-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 3 2025,Design-LHD,Skiing White,Black,LGXCE4CB3R2169243,HC-091-FC,2025-02-28,405.0,,2025-07-23,Bureau FR,Bureau FR,Bureau FR
ATTO 3 2025,Design-LHD,Space Black,Black,LGXCE4CB2S2035619,HC-082-FC,2025-02-28,,,,Jamais reçu,Jamais reçu,Jamais reçu
ATTO 3 2025,Design-LHD,Skiing White,Black,LGXCE4CB1R2168429,HC-067-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 3 2025,Design-LHD,Climbing grey,Blue&Grey,LGXCE4CB9R2228361,HC-077-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 3 2025,Design,Surfing Blue,Blue&Grey,LGXCE4CB9R2174138,HB-862-MR,2025-01-23,1000.0,,2025-07-18,Lisa LI,Lisa LI,Lisa LI
ATTO 3 2025,Comfort-LHD,Climbing grey,Black,LGXCE4CB0S2039023,HC-054-FC,2025-02-28,,,,Xi,Xi,Xi
ATTO 3 2025,Comfort-LHD,Space Black,Black,LGXCE4CB1S2039032,HC-059-FC,2025-02-28,,,,Michael Martinez,Michael Martinez,Michael Martinez
ATTO 3 2025,Design-LHD,Surfing Blue,Black,LGXCE4CB5R2169163,HC-070-FC,2025-02-28,,,,Bureau FR,LSQ,LSQ
ATTO 3 2025,Design-LHD,Space Black,Black,LGXCE4CB7S2035647,HC-080-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 3 2025,Design-LHD,Surfing Blue,Black,LGXCE4CB5R2169325,HC-103-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
DOLPHIN,Design,Surfing Blue + Urban Grey,Blue&Grey,LC0CE4CB0P0322401,GR-765-SG,2023-10-09,11885.0,36.0,2025-08-29,Bureau FR,Bureau FR,Bureau FR
DOLPHIN,Design,Jet Black + Atlantis grey,Black&Grey,LC0CE4CB1P0322293,GR-824-SG,2023-10-09,8804.0,95.0,2025-07-23,Bureau FR,Bureau FR,Colombes
DOLPHIN,Comfort,Cream White,Black&Grey,LC0CE4CB7P0512261,GT-324-ZN,2024-02-05,15.0,,2024-04-25,Bureau FR,BMS,BMS
DOLPHIN,,Surfing Blue + Urban Grey,,LC0CE4CB0P0433322,HF-847-GK,2028-08-25,,,,Bureau FR,Bureau FR,Colombes
DOLPHIN,Design,Skiing White + Urban Grey,Black&Grey,LC0CE4CB0P0462433,GT-305-ZN,2024-02-05,3466.0,96.0,2025-07-23,Bureau FR,Bureau FR,Colombes
DOLPHIN,Design,Skiing white + Urban grey,Blue&Grey,LC0CE4CB0P0512246,GT-332-ZN,2024-02-05,5240.0,71.0,2025-07-23,Bureau FR,Bureau FR,Colombes
Dolphin Surf,Comfort,Jaune,,LGXCE4CBOS2097312,HD-042-MS,2025-05-14,1910.0,20.0,2025-08-29,LSQ,Bureau FR,Colombes
Dolphin Surf,Comfort,Jaune,,LGXCE4CBOS2105294,HD-087-MS,2025-05-14,367.0,100.0,2025-07-23,Bureau FR,Bureau FR,Bureau FR
Dolphin Surf,Comfort,Jaune,,LGXCE4CBOS2103383,HD-060-MS,2025-05-14,1973.0,67.0,2025-07-23,LSQ,LSQ,LSQ
Dolphin Surf,Comfort,Jaune,,LGXCE4CB8S2082993,HD-203-MS,2025-05-14,3151.0,100.0,2025-07-23,Bureau FR,LSQ /PR,LSQ/PR
Dolphin Surf,Comfort,Noir,,LGXCE4CB8S2080323,HD-166-MS,2025-05-14,414.0,49.0,2025-07-23,Bureau FR,Bureau FR,Colombes
Dolphin Surf,Comfort,Noir,,LGXCE4CB8S2085571,HD-209-MS,2025-05-14,3211.0,,2025-07-23,Bureau FR,LSQ,LSQ
Dolphin Surf,Comfort,Jaune,,LGXCE4CB3S2079435,HD-116-MS,2025-05-14,1943.0,100.0,2025-07-25,Bureau FR,Bureau FR,Bureau FR
Dolphin Surf,Comfort,Jaune,,LGXCE4CB7S2081558,HD-136-MS,2025-05-14,1718.0,100.0,2025-07-25,Bureau FR,Bureau FR,Colombes
Dolphin Surf,Comfort,Noir,,LGXCE4CB8S2086168,HD-221-MS,2025-05-14,842.0,19.0,2025-08-29,Bureau FR,Bureau FR,Colombes
Dolphin Surf,Comfort,Jaune,,LGXCE4CB2S2082990,HD-511-MS,2025-05-14,1361.0,100.0,2025-07-23,Bureau FR,Nicolas测量,Nicolas测量
ETP3,-,White,Black,LC0CE4DB4P0007289,GS-543-FS,2023-11-06,629.0,,2025-03-14,Bureau FR,Bureau FR,Bureau FR
ETP3,-,White,Black,LC0CE4DB2P0039027,GS-329-FS,2023-11-06,15.0,,2024-02-21,Bureau FR,Bureau FR,Bureau FR
ETP3,-,White,Black,LC0CE4DB4P0038882,GS-550-FS,2023-11-06,,,,Bureau FR,Bureau FR,Colombes
ETP3,-,White,Black,LC0CE4DB1P0007170,GS-188-FS,2023-11-06,,,,Beauvais,Beauvais,Beauvais
HAN,Executive,Ski White,Red Clay Brown,LC0CF6CD0N1285299,GP-017-MW,2023-06-14,20362.0,60.0,2025-07-23,Bureau FR,Bureau FR,Colombes
HAN,Flagship,Green,Green,LC0CF6CD9N1133568,GP-077-CX,2023-05-25,26377.0,80.0,2025-07-21,Bureau FR,,Colombes
HAN,,Space Black,Brown,LC0CF6CD0N1284167,HF-547-GK,2028-08-25,,,,,Bureau FR,Bureau FR
SEAL,Excellence,Shadow green,Black Seal,LGXCF6CD3P2288482,GT-962-ZM,2024-02-05,19102.0,52.0,2025-07-23,Bureau FR,LSQ,LSQ
SEAL,Excellence,Shadow green,Black Seal,LGXCF6CD7P2237759,GT-670-XG,2024-01-31,17975.0,47.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL,Excellence,Space Black,Black Seal,LGXCF6CD4P2152023,GR-404-XB,2023-10-18,18136.0,44.0,2025-07-23,Bureau FR,,Colombes
SEAL,Design,Ice Blue,Tahitian Blue,LGXCH6CD9P2083145,GS-781-MA,2023-11-20,12558.0,46.0,2025-07-23,Bureau FR,,Colombes
SEAL,Excellence,Shadow green,Black Seal,LGXCF6CD5P2288483,GT-131-ZN,2024-02-05,22345.0,99.0,2025-07-23,Bureau FR,XI,Colombes
SEAL,Excellence,Shadow green,Black Seal,LGXCF6CD9P2261609,GT-500-XG,2024-02-02,8650.0,87.0,2025-08-29,Bureau FR,Bureau FR,Bureau FR
SEAL,Excellence,Ice Blue,Tahitian Blue,LGXCF6CD6P2152024,GR-997-ZG,2023-10-24,15490.0,100.0,2025-08-22,Bureau FR,Bureau FR,Colombes
SEAL,,Shadow Green,,LGXCF6CD2R2093055,HF-138-GL,2025-08-28,,,,Bureau FR,Bureau FR,Colombes
SEAL,Excellence,Space Black,Black Seal,LGXCF6CD8P2152025,GS-579-FR,2023-11-06,12400.0,86.0,2025-07-23,Bureau FR,LSQ,LSQ
SEAL,Excellence,Space Black,Black Seal,LGXCF6CDXP2237822,GT-908-ZM,2024-02-05,8156.0,63.0,2025-07-23,Bureau FR,LSQ/Presse,LSQ/Presse
SEAL,SEAL Design RWD LHD,Ice Blue,Black,LGXCH6CD3R2175855,HC-201-FC,2025-02-28,,,,Bureau FR,LSQ,LSQ
SEAL,SEAL Design RWD LHD,Shadow Green,Black,LGXCH6CD2R2176463,HC-204-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEAL,SEAL Excellence-AWD-LHD,Indigo Grey,Black,LGXCF6CD2R2180082,HC-213-FC,2025-02-28,,,,Bureau FR,LSQ,LSQ
SEAL,SEAL Excellence-AWD-LHD,Space Black,Black,LGXCF6CD6R2175709,HC-216-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEAL,SEAL Design RWD LHD,Ice Blue,Black,LGXCH6CD3R2177489,HC-207-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
SEAL,Excellence,Shadow green,Black Seal,LGXCF6CD3P2245096,GT-836-XG,2024-02-01,5745.0,,2025-07-23,Bureau FR,Nicolas Garage 26/08,Nicolas Garage 26/08
SEAL U,Design,Time grey,Black,LGXCE4CBXP0426035,GV-734-MD,2024-03-01,15295.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Tianqing,Black,LGXCE4CB5P0349073,GV-540-MD,2024-03-01,10755.0,,2025-07-23,Bureau FR,Bureau FR,Bureau FR
SEAL U,Design,Tianqing,Black,LGXCE4CB9P0389995,GV-431-MD,2024-03-01,11052.0,95.0,2025-07-23,Bureau FR,Nicolas 修车,Nicolas 修车
SEAL U,Design,Time grey,Black,LGXCE4CB8P0426079,GV-920-MD,2024-03-01,9153.0,10.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Time grey,Black,LGXCE4CB6P0426078,GV-940-MD,2024-03-01,5950.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Tianqing,Black,LGXCE4CB4P0377687,GV-563-MD,2024-03-01,4860.0,,2024-07-23,Bureau FR,Bureau FR,Bureau FR
SEAL U,Design,Tianqing,Black,LGXCE4CBXP0377693,GV-617-MD,2024-03-01,10231.0,95.0,2024-07-23,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Time grey,Black,LGXCE4CB4P0426032,GV-833-MD,2024-03-01,5304.0,,2025-01-23,Patrick,Patrick,Patrick
SEAL U,Design,Tianqing,Black,LGXCE4CB8P0377692,GV-468-MD,2024-03-01,634.0,,2025-01-23,Nicolas Maire,Nicolas Maire,Nicolas Maire
SEAL U,Design,Time grey,Black,LGXCE4CB4P0426063,GV-966-MD,2024-03-01,16938.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Time grey,Black,LGXCE4CB4P0389953,GV-885-MD,2024-03-01,8419.0,100.0,2025-07-25,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Time grey,Black,LGXCE4CB5P0389993,GV-801-MD,2024-03-01,453.0,,2015-03-24,Bureau FR,LSQ/prêté,LSQ/prêté
SEAL U,Design,Time grey,Black,LGXCE4CB6P0426033,GV-706-MD,2024-03-01,278.0,,2024-03-15, Beauvais, Beauvais , Beauvais 
SEAL U,Design,Time grey,Black,LGXCE4CB0P0426027,GV-865-MD,2024-03-01,3473.0,34.0,2025-08-29,Bureau FR,Bureau FR,Colombes
SEAL U,Design,Tianqing,Black,LGXCE4CB6P0389954,GV-655-MD,2024-03-01,7124.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Boost,Delan Black,Black,LGXC74C44R0144827,GX-041-NM,2024-06-14,36036.0,,2025-07-29,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Boost,Delan Black,Black,LGXC74C43R0144849,GX-887-PA,2024-06-14,28775.0,,2025-08-18,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Design,Boundless Cloud,Black,LGXCD4C49R0144895,GX-154-PB,2024-06-14,27823.0,10.0,2025-06-16,Vendu,Vendu,Vendu
SEAL U DM-i,Boost,Delan Black,Black,LGXC74C48R0144846,GX-937-PA,2024-06-14,22932.0,,2025-06-12,Vendu,Vendu,Vendu
SEAL U DM-i,Design,Boundless Cloud,Black,LGXCD4C44R0144688,HD-375-DG,2024-06-14,15000.0,,,Vendu,Vendu,Vendu
SEAL U DM-i,Boost,Delan Black,Black,LGXC74C43R0144821,GX-792-PA,2024-06-14,5564.0,,2024-12-05,Vendu,Vendu,Vendu
SEAL U DM-i,Design,Boundless Cloud,Black,LGXCD4C40R0144932,GX-091-PB,2024-06-14,819.0,,2024-01-07,Vendu,Vendu,Vendu
SEAL U DM-i,Design,Boundless Cloud,Black,LGXCD4C45R0144683,GX-008-PB,2024-06-14,,,,Vendu,Vendu,Vendu
SEAL U DM-i,Design,Boundless Cloud,Black,LGXCD4C46R0144899,GX-168-PB,2024-06-14,,,,Vendu,Vendu,Vendu
SEAL U DM-i,SEAL U DM-I Design,Delan Black,Black,LGXCD4C44S0093411,HC-224-FC,2025-02-28,1404.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C40S0115329,HD-857-DF,2025-04-23,1384.0,,2025-07-07,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C42S0119785,HD-606-DG,2025-04-23,1377.0,,2025-07-07,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C44S0115365,HD-998-DG,2025-04-23,1437.0,,2025-07-07,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Snow White,Black&Brown,LGXC74C42S0092846,HC-244-FC,2025-02-28,140.0,,,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C4XS0115287,HD-944-DG,2025-04-23,850.0,,2025-09-01,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C41R0753289,HB-981-EX,2024-12-31,,,,Arnaud C,Arnaud C,Arnaud C
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C45R0753294,HB-716-EY,2024-12-31,19476.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C43R0753293,HB-919-EY,2024-12-31,,,,Arnaud V,Arnaud V,Arnaud V
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C47R0753331,HB-136-EZ,2024-12-31,6657.0,,2025-07-21,Lionel Briu,Lionel Briu,Lionel Briu
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C40R0753297,HB-208-EZ,2024-12-27,,,,Laurent,Laurent,Laurent
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C48R0753306,HB-289-EZ,2024-12-27,5000.0,,2025-07-21,Ben,Ben,Ben
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C45R0756468,HB-371-EZ,2024-12-27,,,,David,David,David
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C49R0753301,HB-436-EZ,2024-12-27,6490.0,,2025-07-22,Thomas AUBIN,Thomas AUBIN,Thomas AUBIN
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C47R0756519,HB-553-EZ,2024-12-27,24701.0,,2025-08-19,Liliane,Liliane,Liliane
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C42R0756492,HB-802-EZ,2024-12-27,,,,Julien,Julien,Julien
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C47R0753314,HB-871-EZ,2024-12-27,11191.0,,2025-07-18,Jean Michel,Jean Michel,Jean Michel
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C48R0756528,HB-937-EZ,2024-12-27,11661.0,,2025-07-18,Benjamin,Benjamin,Benjamin V
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C48R0756514,HB-994-EZ,2024-12-27,,,,Romain,Romain,Romain
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C48R0756464,HB-059-FA,2024-12-27,11600.0,,2025-07-21,Samuel,Samuel,Samuel
SEAL U DM-i,SEAL U DM-I Design,SNOW WHITE,BLACK,LGXCD4C43S0095585,HC-227-FC,2025-02-28,30.0,,,Clara Wang,Clara Wang,Clara Wang
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C44S0115379,HD-643-DG,2025-04-23,1869.0,,2025-07-07,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C46S0115318,HD-828-DG,2025-04-23,1005.0,,2025-07-07,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Design,Tianqing,Black,LGXCD4C43R0536433,HB-860-DX,2024-12-30,584.0,19.0,2025-08-29,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C42R0753317,HB-077-EZ,2024-12-31,,,,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C45R0756485,HB-149-FA,2024-12-27,2465.0,,2025-07-23,Bureau FR,LSQ /Michael,LSQ /Michael
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,Black,LGXC74C41S0094233,HC-232-FC,2025-02-28,1533.0,,,Bureau FR,Arnaud V,Arnaud V
SEAL U DM-i,SEAL U DM-I Boost,Time grey,Black,LGXC74C47S0093121,HC-234-FC,2025-02-28,1105.0,,,Bureau FR,Arnaud C,Arnaud C 3/7-16/09
SEAL U DM-i,SEAL U DM-I Boost,Time grey,Black,LGXC74C44S0093142,HC-237-FC,2025-02-28,2310.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,Black&Brown,LGXC74C46S0095281,HC-240-FC,2025-02-28,4463.0,,2025-07-23,Bureau FR,Bureau FR,Colombes
SEAL U DM-i,Boost,Delan Black,Black&Brown,LGXC74C46S0095216,HC-242-FC,2025-02-28,3030.0,,2025-07-29,Bureau FR,LSQ,LSQ
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C42R0753298,HB-977-EY,2024-12-31,,,,Bureau FR,LSQ,LSQ
SEAL U DM-i,Boost,Tianqing,Black,LGXC74C40R0756491,HB-237-FA,2024-12-27,,,,Bureau FR,LSQ,LSQ
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,Black,LGXC74C45S0094252,HC-230-FC,2025-02-28,758.0,,,Emmanuel,Emmanuel,Emmanuel
SEAL U DM-i,SEAL U DM-I Boost,BLACK,Delan Black,LGXC74C41S0119759,HD-005-DG,2025-04-23,683.0,,2025-07-23,LSQ,LSQ,LSQ
SEAL U DM-i,SEAL U DM-I Boost,BLACK,Delan Black,LGXC74C41S0119793,HD-375-DG,2025-04-23,4665.0,,2025-07-23,LSQ,LSQ,LSQ
SEAL U DM-i,SEAL U DM-I Boost,BLACK,Delan Black,LGXC74C41S0119776,HD-049-DG,2025-04-23,4212.0,,2025-07-23,LSQ,LSQ,LSQ
SEAL U DM-i,SEAL U DM-I Boost,BLACK,Delan Black,LGXC74C41S0119843,HD-474-DG,2025-04-23,1759.0,,2025-07-07,LSQ,LSQ,LSQ
SEAL U DM-i,Design,Tianqing,Black,LGXCD4C44R0741503,HB-239-DY,2024-12-30,,,,Bureau FR,LA MANUFACTURE DEVIALET,LA MANUFACTURE DEVIALET
SEAL U DM-i,SEAL U DM-I Boost,Snow White,Black&Brown,LGXC74C4XS0092819,HC-245-FC,2025-02-28,1023.0,,2025-07-07,Bureau FR,Haikel AMBASSADEUR / Frédéric Chau,Haikel AMBASSADEUR / Frédéric Chau
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C42S0115428,HD-543-DG,2025-04-23,637.0,,2025-07-23,Bureau FR,ROMAIN / Sandy Heribert,ROMAIN / Sandy Heribert
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C44S0119769,HD-676-DG,2025-04-23,582.0,,2025-07-23,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C48S0119757,HD-756-DG,2025-04-23,686.0,,2025-07-07,Bureau FR,Bureau FR,Bureau FR
SEAL U DM-i,SEAL U DM-I Boost,Delan Black,BLACK,LGXC74C48S0119872,HD-980-DG,2025-04-23,2952.0,,2025-07-23,LSQ,Amanda Emergui/Victor,Amanda Emergui/Victor
